date,amount,description,balance,account_id,salary_flag
2025-07-21,-447.20,UPI TO RAMESH,54881.87,ACC1001,0
2025-07-21,-1466.75,AMAZON PAY,53415.12,ACC1001,0
2025-07-22,9502.11,UPI FROM PRIYA,62917.22,ACC1001,0
2025-07-24,8713.75,NEFT REFUND,71630.98,ACC1001,0
2025-07-25,-2266.58,NETFLIX,69364.39,ACC1001,0
2025-07-25,-1022.82,STARBUCKS,68341.57,ACC1001,0
2025-07-25,4779.89,REVERSAL,73121.46,ACC1001,0
2025-07-26,4100.24,UPI FROM KUMAR,77221.70,ACC1001,0
2025-07-27,-1836.06,MOBILE RECHARGE,75385.65,ACC1001,0
2025-07-27,3960.10,NEFT REFUND,79345.75,ACC1001,0
2025-07-27,-7857.28,INSURANCE PREMIUM,71488.47,ACC1001,0
2025-07-29,-10000.00,ATM WITHDRAWAL,61488.47,ACC1001,0
2025-07-29,-2071.76,UPI TO RAMESH,59416.71,ACC1001,0
2025-07-30,-4508.11,NETFLIX,54908.60,ACC1001,0
2025-07-30,-741.02,SHOPPING MALL,54167.58,ACC1001,0
2025-08-01,-1427.49,NETFLIX,52740.09,ACC1001,0
2025-08-01,-19789.01,CREDIT CARD BILL,32951.08,ACC1001,0
2025-08-02,-1475.49,STARBUCKS,31475.59,ACC1001,0
2025-08-03,-4794.03,BOOK STORE,26681.56,ACC1001,0
2025-08-04,3143.44,REVERSAL,29824.99,ACC1001,0
2025-08-07,-1509.44,GROCERY BIGBAZAAR,28315.55,ACC1001,0
2025-08-07,-1093.91,CAFE COFFEE DAY,27221.64,ACC1001,0
2025-08-07,9525.38,INTEREST CREDIT,36747.02,ACC1001,0
2025-08-07,8064.16,UPI FROM PRIYA,44811.18,ACC1001,0
2025-08-07,-397.25,SWIGGY,44413.93,ACC1001,0
2025-08-08,-28338.72,CREDIT CARD BILL,16075.21,ACC1001,0
2025-08-08,3225.68,CASHBACK CREDIT,19300.89,ACC1001,0
2025-08-08,-2863.45,FLIPKART,16437.44,ACC1001,0
2025-08-09,-25301.42,CREDIT CARD BILL,-8863.98,ACC1001,0
2025-08-11,"-₹4,023",UPI TO RAMESH,-12886.88,ACC1001,0
2025-08-11,2079.96,NEFT REFUND,-10806.92,ACC1001,0
2025-08-11,-14039.29,INSURANCE PREMIUM,-24846.21,ACC1001,0
2025-08-14,-319.99,SWIGGY,-25166.20,ACC1001,0
2025-08-15,-4980.87,MEDICAL STORE,-30147.07,ACC1001,0
2025-08-15,-629.68,UPI TO PRIYA,-30776.75,ACC1001,0
2025-08-16,-19478.43,CREDIT CARD BILL,-50255.18,ACC1001,0
2025-08-18,"-₹20,109",CREDIT CARD BILL,-70363.73,ACC1001,0
2025-08-19,-934.53,GROCERY BIGBAZAAR,-71298.26,ACC1001,0
2025-08-20,-3418.86,ELECTRICITY BILL,-74717.12,ACC1001,0
2025-08-20,6759.08,UPI FROM KUMAR,-67958.04,ACC1001,0
2025-08-22,"-₹1,278",SHOPPING MALL,-69235.63,ACC1001,0
2025-08-23,-1302.42,STARBUCKS,-70538.05,ACC1001,0
2025-08-26,9301.92,CASHBACK CREDIT,-61236.12,ACC1001,0
2025-08-27,9705.46,UPI FROM RAMESH,-51530.66,ACC1001,0
2025-08-27,-989.42,RESTAURANT,-52520.08,ACC1001,0
2025-08-28,1040.36,UPI FROM KUMAR,-51479.73,ACC1001,0
2025-08-30,-4871.80,MOBILE RECHARGE,-56351.53,ACC1001,0
2025-08-31,-2563.97,AMAZON PRIME,-58915.49,ACC1001,0
2025-09-01,3207.38,INTEREST CREDIT,-55708.11,ACC1001,0
2025-09-01,-511.02,CAFE COFFEE DAY,-56219.13,ACC1001,0
2025-09-01,-2812.02,AMAZON PRIME,-59031.15,ACC1001,0
2025-09-02,-4863.76,BOOK STORE,-63894.91,ACC1001,0
2025-09-03,-1833.03,FLIPKART,-65727.94,ACC1001,0
2025-09-04,-1748.34,ELECTRICITY BILL,-67476.28,ACC1001,0
2025-09-05,-741.30,ELECTRICITY BILL,-68217.58,ACC1001,0
2025-09-06,-952.93,SWIGGY,-69170.52,ACC1001,0
2025-09-06,-2848.44,MOBILE RECHARGE,-72018.96,ACC1001,0
2025-09-06,1529.82,UPI FROM RAMESH,-70489.14,ACC1001,0
2025-09-06,-235.23,STARBUCKS,-70724.37,ACC1001,0
2025-09-07,9115.82,UPI FROM RAMESH,-61608.55,ACC1001,0
2025-09-10,-2959.84,GROCERY BIGBAZAAR,-64568.39,ACC1001,0
2025-09-11,4357.71,CASHBACK CREDIT,-60210.67,ACC1001,0
2025-09-11,7775.23,CASHBACK CREDIT,-52435.44,ACC1001,0
2025-09-11,-731.07,ZOMATO,-53166.52,ACC1001,0
2025-09-16,-1033.01,MOBILE RECHARGE,-54199.52,ACC1001,0
2025-09-17,980.59,UPI FROM PRIYA,-53218.94,ACC1001,0
2025-09-17,-₹242,AMAZON PRIME,-53461.16,ACC1001,0
2025-09-17,-3130.25,BOOK STORE,-56591.41,ACC1001,0
2025-09-18,-22436.55,RENT PAYMENT,-79027.96,ACC1001,0
2025-09-20,-2921.40,UPI TO PRIYA,-81949.37,ACC1001,0
2025-09-23,-9191.77,CREDIT CARD BILL,-91141.13,ACC1001,0
2025-09-25,-2954.30,UPI TO SHARMA,-94095.43,ACC1001,0
2025-09-25,6124.93,UPI FROM PRIYA,-87970.50,ACC1001,0
2025-09-26,-2154.20,AMAZON PAY,-90124.70,ACC1001,0
2025-09-26,-948.37,CAFE COFFEE DAY,-91073.07,ACC1001,0
2025-09-27,6015.60,UPI FROM KUMAR,-85057.47,ACC1001,0
2025-09-28,-10000.00,ATM WITHDRAWAL,-95057.47,ACC1001,0
2025-09-30,-24654.98,RENT PAYMENT,-119712.45,ACC1001,0
2025-10-03,"₹2,661",CASHBACK CREDIT,-117051.36,ACC1001,0
2025-10-04,41628.84,NEFT SALARY ACME,-75422.52,ACC1001,1
2025-10-04,-9908.21,INSURANCE PREMIUM,-85330.73,ACC1001,0
2025-10-05,-7139.53,INSURANCE PREMIUM,-92470.26,ACC1001,0
2025-10-06,-1075.74,BOOK STORE,-93546.00,ACC1001,0
2025-10-07,-651.36,SWIGGY,-94197.37,ACC1001,0
2025-10-08,-1061.74,GROCERY BIGBAZAAR,-95259.11,ACC1001,0
2025-10-08,-1304.45,ZOMATO,-96563.56,ACC1001,0
2025-10-08,-2377.88,AMAZON PRIME,-98941.44,ACC1001,0
2025-10-09,"-₹1,463",FUEL IOCL,-100403.96,ACC1001,0
2025-10-14,-1701.54,NETFLIX,-102105.51,ACC1001,0
2025-10-14,-1111.54,RESTAURANT,-103217.04,ACC1001,0
2025-10-14,1309.22,CASHBACK CREDIT,-101907.83,ACC1001,0
2025-10-15,3835.89,CASHBACK CREDIT,-98071.94,ACC1001,0
2025-10-15,-1466.58,SWIGGY,-99538.52,ACC1001,0
2025-10-16,-321.46,UBER,-99859.98,ACC1001,0
2025-10-16,4836.39,UPI FROM PRIYA,-95023.59,ACC1001,0
2025-10-16,-1477.09,FUEL IOCL,-96500.68,ACC1001,0
2025-10-17,-1365.93,BOOK STORE,-97866.61,ACC1001,0
2025-10-17,-4951.15,MEDICAL STORE,-102817.76,ACC1001,0
2025-10-18,-1290.69,AMAZON PRIME,-104108.45,ACC1001,0
2025-10-19,-659.03,AMAZON PRIME,-104767.48,ACC1001,0
2025-10-20,588.50,UPI FROM PRIYA,-104178.98,ACC1001,0
2025-10-20,2896.58,REVERSAL,-101282.40,ACC1001,0
2025-10-21,5439.24,UPI FROM RAMESH,-95843.16,ACC1001,0
2025-10-22,-668.50,GROCERY BIGBAZAAR,-96511.66,ACC1001,0
2025-10-22,-924.63,SWIGGY,-97436.28,ACC1001,0
2025-10-24,-3989.30,AMAZON PRIME,-101425.59,ACC1001,0
2025-10-24,2319.64,UPI FROM KUMAR,-99105.95,ACC1001,0
2025-10-26,-592.48,OLA,-99698.43,ACC1001,0
2025-10-28,8390.41,REVERSAL,-91308.02,ACC1001,0
2025-10-28,-3000.00,ATM WITHDRAWAL,-94308.02,ACC1001,0
2025-10-29,-327.94,CAFE COFFEE DAY,-94635.96,ACC1001,0
2025-10-31,-1237.59,STARBUCKS,-95873.55,ACC1001,0
2025-10-31,"-₹2,734",FUEL IOCL,-98607.25,ACC1001,0
2025-11-01,"-₹2,300",GROCERY BIGBAZAAR,-100907.44,ACC1001,0
2025-11-02,-2814.22,MEDICAL STORE,-103721.65,ACC1001,0
2025-11-02,-15685.21,RENT PAYMENT,-119406.87,ACC1001,0
2025-11-03,3821.76,UPI FROM SHARMA,-115585.11,ACC1001,0
2025-11-03,3561.89,CASHBACK CREDIT,-112023.22,ACC1001,0
2025-11-03,-635.11,OLA,-112658.33,ACC1001,0
2025-11-04,"₹45,652",NEFT SALARY ACME,-67006.78,ACC1001,1
2025-11-06,-4416.23,UPI TO SHARMA,-71423.02,ACC1001,0
2025-11-08,-1764.71,GROCERY DMART,-73187.73,ACC1001,0
2025-11-08,-1563.20,UPI TO SHARMA,-74750.93,ACC1001,0
2025-11-08,-3565.81,NETFLIX,-78316.74,ACC1001,0
2025-11-10,-1083.66,FUEL IOCL,-79400.40,ACC1001,0
2025-11-10,"₹2,618",NEFT REFUND,-76782.63,ACC1001,0
2025-11-11,-180.95,UBER,-76963.58,ACC1001,0
2025-11-11,-1250.66,RESTAURANT,-78214.24,ACC1001,0
2025-11-12,-456.86,SHOPPING MALL,-78671.10,ACC1001,0
2025-11-12,"-₹7,562",INSURANCE PREMIUM,-86233.53,ACC1001,0
2025-11-13,4134.15,UPI FROM PRIYA,-82099.39,ACC1001,0
2025-11-14,-831.04,STARBUCKS,-82930.43,ACC1001,0
2025-11-15,-1250.86,SHOPPING MALL,-84181.28,ACC1001,0
2025-11-16,4959.27,CASHBACK CREDIT,-79222.01,ACC1001,0
2025-11-17,"-₹8,429",INSURANCE PREMIUM,-87650.81,ACC1001,0
2025-11-19,8873.45,UPI FROM KUMAR,-78777.36,ACC1001,0
2025-11-19,-1527.17,AMAZON PRIME,-80304.53,ACC1001,0
2025-11-22,3034.65,NEFT REFUND,-77269.88,ACC1001,0
2025-11-22,5138.18,NEFT REFUND,-72131.70,ACC1001,0
2025-11-22,"-₹1,199",UPI TO SHARMA,-73330.38,ACC1001,0
2025-11-22,-998.40,GROCERY BIGBAZAAR,-74328.79,ACC1001,0
2025-11-23,-1397.00,STARBUCKS,-75725.79,ACC1001,0
2025-11-24,2919.86,NEFT REFUND,-72805.92,ACC1001,0
2025-11-24,-₹278,RESTAURANT,-73084.22,ACC1001,0
2025-11-26,-2271.34,AMAZON PAY,-75355.56,ACC1001,0
2025-11-27,-28581.31,CREDIT CARD BILL,-103936.88,ACC1001,0
2025-11-27,8121.23,REVERSAL,-95815.64,ACC1001,0
2025-11-28,-309.57,OLA,-96125.21,ACC1001,0
2025-11-30,-1161.62,GROCERY DMART,-97286.82,ACC1001,0
